layer,count,mean,std,min,max
1,4999950000,755.6009751052665,570.5720088983514,0.5812902450561523,10856.806640625
2,4999950000,787.2152312424615,586.6685915639478,1.6334208250045776,11545.5966796875
3,4999950000,885.6612623534652,788.7783739901715,1.9714680910110474,17010.734375
4,4999950000,948.7393786828441,916.4050977985837,2.1847469806671143,19956.787109375
5,4999950000,1184.1812420861327,1409.0295612246532,4.980736255645752,31204.494140625
6,4999950000,1473.4581285113843,2511.058402854187,7.214242458343506,47115.15625
7,4999950000,1537.562703238971,2644.721301682636,7.668697357177734,51650.15234375
8,4999950000,2120.2981595776278,3261.0294661891808,9.176767349243164,60570.61328125
9,4999950000,2389.8261917027535,3533.7026846102513,13.867081642150879,68561.921875
10,4999950000,2759.9836075606827,4227.1927617011215,18.341014862060547,88720.75
11,4999950000,2973.138975086844,4137.238321017721,22.47959327697754,85904.2265625
12,4999950000,3968.1921314082456,3950.670600506374,28.888229370117188,88477.03125
13,4999950000,4283.461532997573,4536.579239421077,33.86795425415039,101947.6015625
14,4999950000,4850.07206470271,5884.970391857798,51.59115219116211,123176.2109375
15,4999950000,4736.778981123279,7515.880970178234,66.25826263427734,145887.40625
16,4999950000,5077.265106762922,7958.588847855466,98.51591491699219,158426.9375
17,4999950000,5727.890066247087,8452.01857395631,133.73484802246094,158765.703125
18,4999950000,6799.248040916343,9581.312635321376,176.1658172607422,177011.75
19,4999950000,7480.934395421819,10161.392323305152,226.4764862060547,181540.53125
20,4999950000,8213.14585699716,10603.899785158948,246.33970642089844,185423.59375
21,4999950000,8891.158660047673,10812.42221111057,265.5777893066406,188253.53125
22,4999950000,9564.91670344905,11015.071003095143,282.1473388671875,188700.9375
23,4999950000,10544.322244525834,11353.548161923709,403.8108215332031,192205.28125
24,4999950000,13120.19028331095,12348.175009845274,467.1824645996094,206774.171875
25,4999950000,15046.096672153899,12229.43806803143,446.20849609375,207326.796875
26,4999950000,16882.43096637198,12195.315921237001,458.06048583984375,207837.625
27,4999950000,19028.720057612372,12158.348723179854,464.85540771484375,208674.96875
28,4999950000,20802.073337098012,12094.859483761282,526.5952758789062,208172.0
29,4999950000,22202.233142851197,11882.80773646188,782.35986328125,216590.515625
30,4999950000,24924.71496775894,11457.613039447542,849.8316040039062,217621.625
31,4999950000,26132.217610670512,9253.835443628886,811.8068237304688,201051.03125
32,4999950000,26354.02314089254,5822.2939156286375,1108.1898193359375,149743.421875
33,4999950000,27569.3471825283,5474.637297561711,1755.5255126953125,142425.40625
34,4999950000,32113.906008271802,9196.940474978632,1960.7481689453125,181350.140625
